"id","screenName","text"
"705963994977333249","bhaskar_vk","@JennyBryan @AmeliaMN That is really really sad."
"705963145702084608","AmeliaMN","@JennyBryan uuugh. so you're saying I have things to look forward to?"
"705950403704201216","sleight82","@JennyBryan @UWCSSS dang. Been following from afar (@Sagebio) interested in yr experience teaching. Bummed to be out that day too."
"705949598171303936","jrnld","@treycausey @JennyBryan Want to do dinner?"
"705941645062217729","PBarmby","@JennyBryan I am totally figuring out how to work ""potential agony"" into my next talk abstract!"
"705934677761101826","treycausey","@JennyBryan @UWCSSS Argh, I cannot make your talk. I'm sorry to miss you."
"705800022474911745","UWCSSS","Seminar Wed: @JennyBryan on Happy Git and GitHub for the UseR (3/9 at 12:30) https://t.co/DOuEclka5O"
"705789525348507649","lapply","@JennyBryan I was looking for a dataset for a ggplot2 intro, and saw your mention of your gapminder package. It'll be very useful, thanks !"
"705586264926388224","treycausey","@JennyBryan @kwbroman @hadleywickham ""Assume for a minute you need to implement a linked list using only stdlib data structures..."" ""Daaad!"""
"705525090902011904","sjmgarnier","@JennyBryan That's not helpful :-)"
"705488567271751680","chipoglesby","@JennyBryan @travisci just a few for myself but nothing big (yet)."
"705481819492212736","FakeUnicode","@JennyBryan (2/2)
Ì†ΩÌ±®Ì†ΩÌ±©‚ÜíÌ†ΩÌ∫Ä‚ÜíÌ†ºÌºé
Ì†ΩÌ±ΩÌ†ΩÌ±ΩÌ†ΩÌ±Ω‚ÜíÌ†ºÌºé
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ≤£‚ÜíÌ†ºÌºé
Ì†ΩÌ∑Ω‚ÜíÌ†ΩÌ¥•
Ì†ΩÌ∑æ‚ÜíÌ†ΩÌ¥•
Ì†ºÌø†Ì†ºÌø¢‚ÜíÌ†ΩÌ¥•
Ì†ΩÌ±®Ì†ΩÌ±©+‚öê
Ì†ΩÌ±Ω??
Ì†ΩÌ±®Ì†ΩÌ±©Ì†ΩÌ≤¨‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±Ω??
Ì†ΩÌ±®Ì†ΩÌ±©Ì†ΩÌ≤≠‚ÜíÌ†ΩÌ±Ω
Ì†ΩÌ±ΩÌ†ΩÌ≤≠‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±Ω‚ô•Ì†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±Ω‚òÆÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±Ω‚ÜíÌ†ΩÌ¥≠Ì†ΩÌ¥¨‚ÜíÌ†ΩÌ±®Ì†ΩÌ±©
Ì†ΩÌ±®Ì†ΩÌ±©-Ì†ΩÌ¥´Ì†ΩÌ≤£Ì†ºÌΩ∑Ì†ºÌΩ∫
Ì†ΩÌ±®Ì†ΩÌ±©+‚åõ‚ÜíÌ†ΩÌ±ΩÌ†ΩÌ±Ω"
